codigo_act,nombre_act
324191,Fabricación de aceites y grasas lubricantes
326150,Fabricación de espumas y productos de uretano
325211,Fabricación de resinas sintéticas
326199,Fabricación de otros productos de plástico sin reforzamiento
326130,Fabricación de laminados de plástico rígido
326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
327215,Fabricación de artículos de vidrio de uso doméstico
323111,"Impresión de libros, periódicos y revistas"
325520,Fabricación de adhesivos
325130,Fabricación de pigmentos y colorantes sintéticos
325999,Fabricación de otros productos químicos
327330,Fabricación de tubos y bloques de cemento y concreto
321210,Fabricación de laminados y aglutinados de madera
325320,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes"
325310,Fabricación de fertilizantes
326120,"Fabricación de tubería y conexiones, y tubos para embalaje"
326192,Fabricación de autopartes de plástico con y sin reforzamiento
327320,Fabricación de concreto
325610,"Fabricación de jabones, limpiadores y dentífricos"
325190,Fabricación de otros productos químicos básicos orgánicos
327420,Fabricación de yeso y productos de yeso
327122,Fabricación de azulejos y losetas no refractarias
321992,Fabricación de artículos y utensilios de madera para el hogar
327111,"Fabricación de artículos de alfarería, porcelana y loza"
327123,Fabricación de productos refractarios
327219,Fabricación de otros productos de vidrio
325510,Fabricación de pinturas y recubrimientos
325180,Fabricación de otros productos químicos básicos inorgánicos
325411,Fabricación de materias primas para la industria farmacéutica
327391,Fabricación de productos preesforzados de concreto
321999,Fabricación de otros productos de madera
327214,Fabricación de fibra de vidrio
326290,Fabricación de otros productos de hule
321991,"Fabricación de productos de materiales trenzables, excepto palma"
321112,Aserrado de tablas y tablones
326220,Fabricación de bandas y mangueras de hule y de plástico
325992,"Fabricación de películas, placas y papel fotosensible para fotografía"
325220,Fabricación de fibras químicas
321993,Fabricación de productos de madera de uso industrial
322122,Fabricación de papel a partir de pulpa
325993,Fabricación de resinas de plásticos reciclados
327399,Fabricación de otros productos de cemento y concreto
326211,Fabricación de llantas y cámaras
325910,Fabricación de tintas para impresión
322132,Fabricación de cartón y cartoncillo a partir de pulpa
327310,Fabricación de cemento y productos a base de cemento en plantas integradas
325991,Fabricación de cerillos
324110,Refinación de petróleo
327213,Fabricación de envases y ampolletas de vidrio
322291,Fabricación de pañales desechables y productos sanitarios
327216,Fabricación de artículos de vidrio de uso industrial y comercial
325120,Fabricación de gases industriales
325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
327121,Fabricación de ladrillos no refractarios
321111,Aserraderos integrados
325212,Fabricación de hules sintéticos
326140,Fabricación de espumas y productos de poliestireno
325920,Fabricación de explosivos
327112,Fabricación de muebles de baño
324120,Fabricación de productos de asfalto
326212,Revitalización de llantas
322110,Fabricación de pulpa
332110,Fabricación de productos metálicos forjados y troquelados
332320,Fabricación de productos de herrería
335312,Fabricación de equipo y aparatos de distribución de energía eléctrica
339920,Fabricación de artículos deportivos
339913,Joyería de metales y piedras no preciosos y de otros materiales
337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería"
339113,Fabricación de artículos oftálmicos
337210,Fabricación de muebles de oficina y estantería
332810,Recubrimientos y terminados metálicos
339999,Otras industrias manufactureras
332999,Fabricación de otros productos metálicos
336390,Fabricación de otras partes para vehículos automotrices
332310,Fabricación de estructuras metálicas
333999,Fabricación de otra maquinaria y equipo para la industria en general
332430,Fabricación de envases metálicos de calibre ligero
331510,Moldeo por fundición de piezas de hierro y acero
333510,Fabricación de maquinaria y equipo para la industria metalmecánica
332610,"Fabricación de alambre, productos de alambre y resortes"
332710,Maquinado de piezas metálicas para maquinaria y equipo en general
336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices
333241,Fabricación de maquinaria y equipo para la industria de la madera
331220,Fabricación de otros productos de hierro y acero
332720,"Fabricación de tornillos, tuercas, remaches y similares"
334310,Fabricación de equipo de audio y de video
332910,Fabricación de válvulas metálicas
339912,Orfebrería y joyería de metales y piedras preciosos
339950,Fabricación de anuncios y señalamientos
336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
333319,Fabricación de otra maquinaria y equipo para el comercio y los servicios
332211,Fabricación de herramientas de mano metálicas sin motor
333411,Fabricación de equipo de aire acondicionado y calefacción
337920,Fabricación de persianas y cortineros
339914,Metalistería de metales no preciosos
336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
331520,Moldeo por fundición de piezas metálicas no ferrosas
337110,Fabricación de cocinas integrales y muebles modulares de baño
334519,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico"
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina"
339930,Fabricación de juguetes
339992,"Fabricación de cierres, botones y agujas"
336992,Fabricación de bicicletas y triciclos
336510,Fabricación de equipo ferroviario
331310,Industria básica del aluminio
336350,Fabricación de partes de sistemas de transmisión para vehículos automotores
335110,Fabricación de focos
332212,Fabricación de utensilios de cocina metálicos
332510,Fabricación de herrajes y cerraduras
335220,Fabricación de aparatos de línea blanca
336340,Fabricación de partes de sistemas de frenos para vehículos automotrices
334410,Fabricación de componentes electrónicos
334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"
339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio"
335930,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas"
339993,"Fabricación de escobas, cepillos y similares"
335210,Fabricación de enseres electrodomésticos menores
337910,Fabricación de colchones
339994,Fabricación de velas y veladoras
336360,Fabricación de asientos y accesorios interiores para vehículos automotores
336610,Fabricación de embarcaciones
339995,Fabricación de ataúdes
333920,Fabricación de maquinaria y equipo para levantar y trasladar
334610,Fabricación y reproducción de medios magnéticos y ópticos
339112,Fabricación de material desechable de uso médico
335999,Fabricación de otros productos eléctricos
333910,Fabricación de bombas y sistemas de bombeo
333993,Fabricación de aparatos e instrumentos para pesar
333242,Fabricación de maquinaria y equipo para la industria del hule y del plástico
336210,Fabricación de carrocerías y remolques
333111,Fabricación de maquinaria y equipo agrícola
333610,"Fabricación de motores de combustión interna, turbinas y transmisiones"
333243,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
333245,Fabricación de maquinaria y equipo para la industria de la impresión
333412,Fabricación de equipo de refrigeración industrial y comercial
335120,Fabricación de lámparas ornamentales
333249,Fabricación de maquinaria y equipo para otras industrias manufactureras
339991,Fabricación de instrumentos musicales
333244,Fabricación de maquinaria y equipo para la industria textil
336110,Fabricación de automóviles y camionetas
332410,Fabricación de calderas industriales
332991,Fabricación de baleros y rodamientos
331420,Laminación secundaria de cobre
331210,Fabricación de tubos y postes de hierro y acero
331419,Fundición y refinación de otros metales no ferrosos
331112,Fabricación de desbastes primarios y ferroaleaciones
335920,Fabricación de cables de conducción eléctrica
334110,Fabricación de computadoras y equipo periférico
334210,Fabricación de equipo telefónico
333130,Fabricación de maquinaria y equipo para la industria extractiva
332420,Fabricación de tanques metálicos de calibre grueso
336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices
336120,Fabricación de camiones y tractocamiones
331490,Laminación secundaria de otros metales no ferrosos
333992,Fabricación de maquinaria y equipo para envasar y empacar
333120,Fabricación de maquinaria y equipo para la construcción
335910,Fabricación de acumuladores y pilas
333991,Fabricación de equipo para soldar y soldaduras
335311,Fabricación de motores y generadores eléctricos
334290,Fabricación de otros equipos de comunicación
335991,Fabricación de productos eléctricos de carbón y grafito
336999,Fabricación de otro equipo de transporte
333311,Fabricación de aparatos fotográficos
333112,Fabricación de maquinaria y equipo pecuario
331412,Fundición y refinación de metales preciosos
336991,Fabricación de motocicletas
336410,Fabricación de equipo aeroespacial
333246,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos
334511,Fabricación de relojes
435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo"
431191,Comercio al por mayor de pan y pasteles
437113,"Intermediación de comercio al por mayor para productos de uso doméstico y personal, excepto a través de Internet y de otros medios electrónicos"
434225,Comercio al por mayor de equipo y material eléctrico
431212,Comercio al por mayor de vinos y licores
434240,Comercio al por mayor de artículos desechables
434221,Comercio al por mayor de materiales metálicos para la construcción y la manufactura
431110,Comercio al por mayor de abarrotes
435312,Comercio al por mayor de artículos y accesorios para diseño y pintura artística
436112,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones"
435419,Comercio al por mayor de otra maquinaria y equipo de uso general
434229,Comercio al por mayor de otras materias primas para otras industrias
434224,Comercio al por mayor de madera para la construcción y la industria
434319,Comercio al por mayor de otros materiales de desecho
433220,Comercio al por mayor de artículos de joyería y relojes
431123,Comercio al por mayor de pescados y mariscos
435313,"Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio"
431150,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos"
433110,Comercio al por mayor de productos farmacéuticos
435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales
433420,Comercio al por mayor de libros
431140,Comercio al por mayor de huevo
431160,Comercio al por mayor de leche y otros productos lácteos
433410,Comercio al por mayor de artículos de papelería
431121,Comercio al por mayor de carnes rojas
434211,"Comercio al por mayor de cemento, tabique y grava"
432111,"Comercio al por mayor de fibras, hilos y telas"
431122,Comercio al por mayor de carne de aves
435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca"
434311,Comercio al por mayor de desechos metálicos
435220,Comercio al por mayor de maquinaria y equipo para la industria manufacturera
434222,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial
434219,"Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos"
435412,Comercio al por mayor de mobiliario y equipo de oficina
431130,Comercio al por mayor de frutas y verduras frescas
434226,Comercio al por mayor de pintura
435311,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía"
432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir"
431199,Comercio al por mayor de otros alimentos
432113,Comercio al por mayor de cueros y pieles
432119,Comercio al por mayor de otros productos textiles
434312,Comercio al por mayor de desechos de papel y de cartón
434223,"Comercio al por mayor de envases en general, papel y cartón para la industria"
434112,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas"
433313,Comercio al por mayor de artículos y aparatos deportivos
433510,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca
433210,Comercio al por mayor de artículos de perfumería y cosméticos
434230,Comercio al por mayor de combustibles de uso industrial
432130,Comercio al por mayor de calzado
434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra"
431180,Comercio al por mayor de dulces y materias primas para repostería
431192,Comercio al por mayor de botanas y frituras
435210,Comercio al por mayor de maquinaria y equipo para la construcción y la minería
433311,Comercio al por mayor de discos y casetes
431193,Comercio al por mayor de conservas alimenticias
434314,Comercio al por mayor de desechos de plástico
434313,Comercio al por mayor de desechos de vidrio
434227,Comercio al por mayor de vidrios y espejos
433312,Comercio al por mayor de juguetes y bicicletas
437111,"Intermediación de comercio al por mayor de productos agropecuarios, excepto a través de Internet y de otros medios electrónicos"
431211,Comercio al por mayor de bebidas no alcohólicas y hielo
433430,Comercio al por mayor de revistas y periódicos
437112,"Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios, excepto a través de Internet y de otros medios electrónicos"
436111,Comercio al por mayor de camiones
437210,Intermediación de comercio al por mayor exclusivamente a través de Internet y otros medios electrónicos
434228,Comercio al por mayor de ganado y aves en pie
431213,Comercio al por mayor de cerveza
431170,Comercio al por mayor de embutidos
432112,Comercio al por mayor de blancos
431220,"Comercio al por mayor de cigarros, puros y tabaco"
431194,Comercio al por mayor de miel
467112,Comercio al por menor de pisos y recubrimientos cerámicos
464121,Comercio al por menor de lentes
466312,Comercio al por menor de plantas y flores naturales
463211,"Comercio al por menor de ropa, excepto de bebé y lencería"
467111,Comercio al por menor en ferreterías y tlapalerías
466211,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo"
465311,Comercio al por menor de artículos de papelería
467115,Comercio al por menor de artículos para la limpieza
461140,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos"
461121,Comercio al por menor de carnes rojas
461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas"
463310,Comercio al por menor de calzado
468411,Comercio al por menor de gasolina y diesel
466212,Comercio al por menor de teléfonos y otros aparatos de comunicación
465215,Comercio al por menor de artículos y aparatos deportivos
461150,"Comercio al por menor de leche, otros productos lácteos y embutidos"
463213,Comercio al por menor de lencería
466112,Comercio al por menor de electrodomésticos menores y aparatos de línea blanca
465112,Comercio al por menor de artículos de joyería y relojes
461130,Comercio al por menor de frutas y verduras frescas
463212,Comercio al por menor de ropa de bebé
465212,Comercio al por menor de juguetes
465912,Comercio al por menor de regalos
461211,Comercio al por menor de vinos y licores
465919,Comercio al por menor de otros artículos de uso personal
461170,Comercio al por menor de paletas de hielo y helados
466410,Comercio al por menor de artículos usados
466319,Comercio al por menor de otros artículos para la decoración de interiores
468212,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones"
466111,Comercio al por menor de muebles para el hogar
464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios"
461123,Comercio al por menor de pescados y mariscos
461160,Comercio al por menor de dulces y materias primas para repostería
461190,Comercio al por menor de otros alimentos
466314,Comercio al por menor de lámparas ornamentales y candiles
465211,Comercio al por menor de discos y casetes
466114,"Comercio al por menor de cristalería, loza y utensilios de cocina"
461122,Comercio al por menor de carne de aves
462210,Comercio al por menor en tiendas departamentales
465911,Comercio al por menor de mascotas
462111,Comercio al por menor en supermercados
465914,Comercio al por menor de artículos desechables
463111,Comercio al por menor de telas
463215,Comercio al por menor de bisutería y accesorios de vestir
465915,Comercio al por menor en tiendas de artesanías
468211,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones"
465111,Comercio al por menor de artículos de perfumería y cosméticos
463113,Comercio al por menor de artículos de mercería y bonetería
463214,"Comercio al por menor de disfraces, vestimenta regional y vestidos de novia"
467113,Comercio al por menor de pintura
465312,Comercio al por menor de libros
462112,Comercio al por menor en minisupers
464111,Farmacias sin minisúper
469110,"Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares"
465913,Comercio al por menor de artículos religiosos
463216,Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales
463217,Comercio al por menor de pañales desechables
461213,Comercio al por menor de bebidas no alcohólicas y hielo
463112,Comercio al por menor de blancos
465313,Comercio al por menor de revistas y periódicos
465213,Comercio al por menor de bicicletas
464112,Farmacias con minisúper
466311,"Comercio al por menor de alfombras, cortinas, tapices y similares"
468111,Comercio al por menor de automóviles y camionetas nuevos
461212,Comercio al por menor de cerveza
467114,Comercio al por menor de vidrios y espejos
468213,"Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones"
468311,Comercio al por menor de motocicletas
465214,Comercio al por menor de equipo y material fotográfico
465216,Comercio al por menor de instrumentos musicales
468420,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor"
464122,Comercio al por menor de artículos ortopédicos
467117,Comercio al por menor de artículos para albercas y otros artículos
468412,Comercio al por menor de gas L. P. en cilindros y para tanques estacionarios
463218,Comercio al por menor de sombreros
468319,Comercio al por menor de otros vehículos de motor
468112,Comercio al por menor de automóviles y camionetas usados
467116,Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas
466313,Comercio al por menor de antigüedades y obras de arte
461220,"Comercio al por menor de cigarros, puros y tabaco"
468419,Comercio al por menor de otros combustibles
466113,Comercio al por menor de muebles para jardín
468414,Comercio al por menor en estaciones de gas natural vehicular
468413,Comercio al por menor de gas L. P. en estaciones de carburación
488492,"Servicios de administración de carreteras, puentes y servicios auxiliares"
488990,Otros servicios relacionados con el transporte
484210,Servicios de mudanzas
488111,Servicios a la navegación aérea
488511,Servicios de agencias aduanales
488519,Otros servicios de intermediación para el transporte de carga
485210,Transporte colectivo foráneo de pasajeros de ruta fija
488491,Servicios de administración de centrales camioneras
484129,Otro autotransporte foráneo de carga general
484239,Otro autotransporte foráneo de carga especializado
488190,Otros servicios relacionados con el transporte aéreo
484232,Autotransporte foráneo de materiales y residuos peligrosos
485990,Otro transporte terrestre de pasajeros
481210,Transporte aéreo no regular
488112,Administración de aeropuertos y helipuertos
481111,Transporte aéreo regular en líneas aéreas nacionales
481112,Transporte aéreo regular en líneas aéreas extranjeras
487110,Transporte turístico por tierra
485111,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija
485320,Alquiler de automóviles con chofer
485510,Alquiler de autobuses con chofer
488210,Servicios relacionados con el transporte por ferrocarril
488390,Otros servicios relacionados con el transporte por agua
484221,Autotransporte local de materiales para la construcción
484119,Otro autotransporte local de carga general
484229,Otro autotransporte local de carga especializado
488410,Servicios de grúa
484111,Autotransporte local de productos agrícolas sin refrigeración
484222,Autotransporte local de materiales y residuos peligrosos
484233,Autotransporte foráneo con refrigeración
484121,Autotransporte foráneo de productos agrícolas sin refrigeración
484223,Autotransporte local con refrigeración
484231,Autotransporte foráneo de materiales para la construcción
485410,Transporte escolar y de personal
487990,Otro transporte turístico
488493,Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera
488330,Servicios para la navegación por agua
483113,Transporte marítimo de petróleo y gas natural
482110,Transporte por ferrocarril
485113,Transporte colectivo urbano y suburbano de pasajeros en trolebuses y trenes ligeros
485114,Transporte colectivo urbano y suburbano de pasajeros en metro
488310,Administración de puertos y muelles
485115,Transporte colectivo urbano y suburbano de pasajeros en autobuses que transitan en carril exclusivo
486210,Transporte de gas natural por ductos
487210,Transporte turístico por agua
483111,"Transporte marítimo de altura, excepto de petróleo y gas natural"
488320,Servicios de carga y descarga para el transporte por agua
483112,"Transporte marítimo de cabotaje, excepto de petróleo y gas natural"
483210,Transporte por aguas interiores
486110,Transporte de petróleo crudo por ductos
486910,Transporte por ductos de productos refinados del petróleo
492110,Servicios de mensajería y paquetería foránea
493119,Otros servicios de almacenamiento general sin instalaciones especializadas
493111,Almacenes generales de depósito
491110,Servicios postales
493120,Almacenamiento con refrigeración
493130,Almacenamiento de productos agrícolas que no requieren refrigeración
492210,Servicios de mensajería y paquetería local
493190,Otros servicios de almacenamiento con instalaciones especializadas
511111,Edición de periódicos
518210,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados"
512240,Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales
517910,Otros servicios de telecomunicaciones
517312,Operadores de servicios de telecomunicaciones inalámbricas
512111,Producción de películas
511122,Edición de revistas y otras publicaciones periódicas integrada con la impresión
515110,Transmisión de programas de radio
511131,Edición de libros
519122,Bibliotecas y archivos del sector público
512112,Producción de programas para la televisión
511121,Edición de revistas y otras publicaciones periódicas
511210,Edición de software y edición de software integrada con la reproducción
517311,Operadores de servicios de telecomunicaciones alámbricas
519110,Agencias noticiosas
512190,Servicios de postproducción y otros servicios para la industria fílmica y del video
512113,"Producción de videoclips, comerciales y otros materiales audiovisuales"
519130,Edición y difusión de contenido exclusivamente a través de Internet y servicios de búsqueda en la red
511112,Edición de periódicos integrada con la impresión
511132,Edición de libros integrada con la impresión
511191,Edición de otros materiales
517410,Operadores de servicios de telecomunicaciones vía satélite
511192,Edición de otros materiales integrada con la impresión
512250,Productoras y distribuidoras discográficas
519121,Bibliotecas y archivos del sector privado
512230,Editoras de música
512130,Exhibición de películas y otros materiales audiovisuales
515120,Transmisión de programas de televisión
515210,Producción de programación de canales para sistemas de televisión por cable o satelitales
512120,Distribución de películas y de otros materiales audiovisuales
511141,Edición de directorios y de listas de correo
512290,Otros servicios de grabación del sonido
519190,Otros servicios de suministro de información
511142,Edición de directorios y de listas de correo integrada con la impresión
522460,Sociedades financieras de objeto múltiple
522110,Banca múltiple
524210,"Agentes, ajustadores y gestores de seguros y fianzas"
524110,Compañías de seguros
524120,Fondos de aseguramiento campesino
522490,Otras instituciones de intermediación crediticia y financiera no bursátil
523122,Centros cambiarios
